Time da Casa,Time Visitante,Gols da Casa,Gols Visitante
Bayern Munich,Sevilla,5,1
Juventus,Arsenal,2,3
Manchester City,Barcelona,4,2
Juventus,Manchester City,3,4
Barcelona,Juventus,1,4
Benfica,Inter Milan,3,5
RB Leipzig,AC Milan,1,5
Lyon,Borussia Dortmund,3,5
Manchester City,Benfica,4,3
Borussia Dortmund,Napoli,0,0
Lyon,Napoli,5,4
Atlético de Madrid,Tottenham Hotspur,4,1
RB Leipzig,Inter Milan,5,2
Bayern Munich,Inter Milan,0,5
RB Leipzig,Real Madrid,2,0
Sevilla,Paris Saint-Germain,5,5
Borussia Dortmund,Inter Milan,4,4
Arsenal,Napoli,2,1
AC Milan,Inter Milan,5,2
Manchester United,Bayern Munich,0,5
Borussia Dortmund,Juventus,5,0
Liverpool,Sevilla,5,0
Liverpool,Juventus,0,5
Liverpool,Lyon,1,1
Juventus,Borussia Dortmund,4,5
Borussia Dortmund,Arsenal,2,1
Chelsea,AC Milan,2,1
Manchester City,Inter Milan,5,4
Napoli,Barcelona,4,3
Liverpool,Real Madrid,2,5
RB Leipzig,Liverpool,1,4
AC Milan,Sevilla,3,0
RB Leipzig,Bayern Munich,4,3
Paris Saint-Germain,Napoli,0,4
Manchester United,Barcelona,1,3
Arsenal,Chelsea,4,2
Juventus,Paris Saint-Germain,5,4
Tottenham Hotspur,AC Milan,1,3
RB Leipzig,Manchester United,2,0
RB Leipzig,Juventus,4,4
Paris Saint-Germain,Barcelona,5,1
Atlético de Madrid,Borussia Dortmund,1,3
Tottenham Hotspur,Barcelona,2,3
Liverpool,Real Madrid,5,5
Benfica,Napoli,2,1
Sevilla,AC Milan,0,1
Borussia Dortmund,Liverpool,0,3
Barcelona,Borussia Dortmund,2,4
Juventus,Chelsea,3,5
Juventus,Real Madrid,3,4
Napoli,Liverpool,0,5
AC Milan,Borussia Dortmund,1,0
Tottenham Hotspur,Barcelona,5,1
Barcelona,Sevilla,1,1
Napoli,Barcelona,3,0
Tottenham Hotspur,Sevilla,1,3
Bayern Munich,Real Madrid,4,5
RB Leipzig,Atlético de Madrid,4,2
Manchester City,Inter Milan,2,1
Borussia Dortmund,Paris Saint-Germain,3,3
Borussia Dortmund,Tottenham Hotspur,0,0
Manchester United,Juventus,0,2
Sevilla,Borussia Dortmund,0,1
Chelsea,Barcelona,5,2
RB Leipzig,Manchester City,2,2
Tottenham Hotspur,Benfica,5,3
Arsenal,Paris Saint-Germain,5,3
Liverpool,Manchester United,4,0
Paris Saint-Germain,Lyon,1,1
Paris Saint-Germain,Benfica,2,0
Inter Milan,Sevilla,3,2
Arsenal,Atlético de Madrid,5,0
Arsenal,Bayern Munich,3,2
Tottenham Hotspur,RB Leipzig,0,0
Bayern Munich,Chelsea,2,5
RB Leipzig,Tottenham Hotspur,3,0
Lyon,Barcelona,5,0
Paris Saint-Germain,Manchester City,1,5
RB Leipzig,Arsenal,0,1
Inter Milan,Real Madrid,3,4
Chelsea,Inter Milan,3,4
Juventus,Lyon,4,0
Paris Saint-Germain,Barcelona,4,2
Paris Saint-Germain,AC Milan,4,3
Manchester United,Juventus,2,4
Real Madrid,Borussia Dortmund,1,4
Barcelona,Chelsea,1,3
Lyon,Barcelona,0,1
Liverpool,Sevilla,5,1
Juventus,Chelsea,4,1
Real Madrid,Atlético de Madrid,5,5
Real Madrid,Juventus,1,3
Bayern Munich,Benfica,3,0
Lyon,Borussia Dortmund,0,2
AC Milan,Barcelona,3,0
Lyon,Paris Saint-Germain,5,2
Bayern Munich,Juventus,4,5
Real Madrid,Juventus,3,1
Juventus,Arsenal,4,1
Juventus,Manchester City,4,3
Lyon,Sevilla,0,0
AC Milan,Benfica,1,3
Borussia Dortmund,RB Leipzig,3,3
Real Madrid,Manchester City,3,2
Napoli,Real Madrid,5,3
Real Madrid,Chelsea,2,0
Manchester United,Atlético de Madrid,1,2
Barcelona,AC Milan,3,0
Atlético de Madrid,Borussia Dortmund,3,5
Lyon,Tottenham Hotspur,5,2
Napoli,Bayern Munich,4,2
Manchester United,Paris Saint-Germain,1,4
Benfica,Arsenal,0,4
Paris Saint-Germain,Inter Milan,4,3
Atlético de Madrid,Sevilla,3,0
Lyon,Real Madrid,3,5
Napoli,Juventus,4,3
Chelsea,Tottenham Hotspur,2,3
Inter Milan,Manchester United,0,1
RB Leipzig,Tottenham Hotspur,0,1
Sevilla,Napoli,3,0
Borussia Dortmund,Chelsea,1,0
Tottenham Hotspur,Inter Milan,2,5
Arsenal,Liverpool,4,1
Benfica,Sevilla,1,4
Napoli,Borussia Dortmund,4,0
Manchester City,Atlético de Madrid,1,3
Manchester City,Arsenal,5,2
AC Milan,Barcelona,1,4
RB Leipzig,Arsenal,5,4
Real Madrid,Tottenham Hotspur,3,2
RB Leipzig,Sevilla,2,3
Liverpool,Borussia Dortmund,5,1
Benfica,Arsenal,0,4
RB Leipzig,Real Madrid,1,2
Sevilla,Napoli,2,0
Tottenham Hotspur,Benfica,2,5
Atlético de Madrid,Manchester United,5,2
Benfica,Chelsea,3,1
Juventus,Barcelona,2,5
Arsenal,Manchester City,4,0
Manchester City,Real Madrid,5,5
RB Leipzig,Chelsea,5,5
Atlético de Madrid,Inter Milan,0,0
Chelsea,Real Madrid,5,4
Barcelona,Inter Milan,2,3
Tottenham Hotspur,Benfica,5,5
AC Milan,Manchester City,5,2
Borussia Dortmund,Manchester City,2,4
Inter Milan,Tottenham Hotspur,1,1
Manchester United,Sevilla,5,0
Manchester City,Manchester United,2,0
Borussia Dortmund,Arsenal,5,2
Chelsea,Real Madrid,0,3
Borussia Dortmund,Bayern Munich,5,2
Juventus,Arsenal,3,2
Real Madrid,Barcelona,2,0
Inter Milan,Tottenham Hotspur,1,5
RB Leipzig,Paris Saint-Germain,0,0
Arsenal,Manchester City,5,3
Paris Saint-Germain,Juventus,2,4
Paris Saint-Germain,RB Leipzig,2,2
Benfica,Napoli,3,4
Borussia Dortmund,Atlético de Madrid,5,2
Lyon,Bayern Munich,0,0
Manchester City,Sevilla,5,5
Liverpool,Barcelona,4,1
Paris Saint-Germain,Bayern Munich,4,2
Napoli,Bayern Munich,1,0
Borussia Dortmund,Juventus,5,2
Real Madrid,Lyon,0,5
Borussia Dortmund,Liverpool,5,4
Napoli,Paris Saint-Germain,4,4
Atlético de Madrid,Manchester United,2,0
RB Leipzig,Barcelona,2,0
Manchester City,Bayern Munich,4,1
Benfica,Real Madrid,1,0
Inter Milan,Lyon,2,5
Manchester City,Borussia Dortmund,3,2
Inter Milan,Bayern Munich,4,4
Barcelona,Lyon,5,4
Benfica,Juventus,3,2
Chelsea,Paris Saint-Germain,3,0
Juventus,Manchester United,1,4
Napoli,Lyon,0,3
Napoli,Chelsea,3,3
Lyon,Paris Saint-Germain,4,1
Lyon,Barcelona,3,5
Liverpool,Borussia Dortmund,3,0
Manchester City,Sevilla,0,3
Inter Milan,Juventus,2,5
Manchester City,Manchester United,0,3
Arsenal,Real Madrid,4,5
Tottenham Hotspur,RB Leipzig,3,4
Juventus,Barcelona,1,0
Manchester City,Paris Saint-Germain,0,5
Benfica,Tottenham Hotspur,1,1
Paris Saint-Germain,Manchester City,5,1
RB Leipzig,Manchester City,5,0
Paris Saint-Germain,Barcelona,3,5
Benfica,Sevilla,3,0
Tottenham Hotspur,Juventus,5,1
Bayern Munich,Atlético de Madrid,3,3
Liverpool,Bayern Munich,1,4
Sevilla,Real Madrid,3,0
AC Milan,RB Leipzig,1,5
Bayern Munich,Borussia Dortmund,3,1
Sevilla,Lyon,3,1
Real Madrid,Barcelona,0,2
Arsenal,Juventus,5,5
RB Leipzig,Real Madrid,1,5
Lyon,Inter Milan,2,0
Napoli,Real Madrid,5,0
Tottenham Hotspur,RB Leipzig,2,5
Arsenal,RB Leipzig,0,1
AC Milan,Inter Milan,4,3
Juventus,RB Leipzig,5,0
Juventus,Real Madrid,3,4
Tottenham Hotspur,Atlético de Madrid,5,4
Sevilla,Barcelona,3,3
Atlético de Madrid,Manchester City,0,1
Real Madrid,Paris Saint-Germain,1,0
AC Milan,Bayern Munich,3,0
Arsenal,Liverpool,3,4
Juventus,Lyon,1,3
Inter Milan,AC Milan,0,1
Barcelona,Arsenal,1,0
Arsenal,Liverpool,5,0
Paris Saint-Germain,Inter Milan,1,3
Manchester City,Paris Saint-Germain,5,2
Manchester United,Juventus,5,0
Manchester United,Arsenal,0,4
Bayern Munich,Borussia Dortmund,1,2
Paris Saint-Germain,Manchester United,2,4
Sevilla,Atlético de Madrid,2,3
RB Leipzig,Benfica,4,2
RB Leipzig,Inter Milan,3,0
Liverpool,Paris Saint-Germain,5,4
Manchester City,Manchester United,2,3
Real Madrid,Tottenham Hotspur,5,3
Manchester United,AC Milan,1,3
Borussia Dortmund,Bayern Munich,5,5
Manchester City,Arsenal,3,4
Liverpool,Tottenham Hotspur,3,2
Lyon,Arsenal,0,5
Juventus,Napoli,2,3
Chelsea,Paris Saint-Germain,5,0
Napoli,Manchester United,0,3
Borussia Dortmund,Arsenal,2,5
Lyon,Sevilla,1,2
Atlético de Madrid,Inter Milan,5,1
Tottenham Hotspur,Bayern Munich,2,4
Napoli,Liverpool,2,3
Sevilla,Tottenham Hotspur,0,4
AC Milan,Bayern Munich,4,2
Sevilla,Inter Milan,4,0
RB Leipzig,Paris Saint-Germain,0,0
Arsenal,Benfica,2,4
Manchester City,Bayern Munich,0,5
Real Madrid,Barcelona,5,3
Bayern Munich,Tottenham Hotspur,0,1
Sevilla,Real Madrid,3,0
Sevilla,Arsenal,1,2
Tottenham Hotspur,Barcelona,3,2
Benfica,Borussia Dortmund,3,0
Sevilla,Arsenal,5,2
Liverpool,Barcelona,2,2
Borussia Dortmund,Atlético de Madrid,1,1
RB Leipzig,Real Madrid,1,1
Benfica,Manchester United,5,2
Liverpool,Manchester City,2,2
Borussia Dortmund,Tottenham Hotspur,5,2
Juventus,Paris Saint-Germain,5,0
Chelsea,Juventus,0,5
Tottenham Hotspur,Liverpool,1,2
AC Milan,Tottenham Hotspur,2,4
Inter Milan,Bayern Munich,4,2
Tottenham Hotspur,AC Milan,1,4
Liverpool,Arsenal,3,5
Chelsea,Arsenal,3,3
Barcelona,Borussia Dortmund,3,5
Borussia Dortmund,Inter Milan,2,2
Benfica,Inter Milan,3,3
Liverpool,Juventus,4,4
Bayern Munich,Manchester City,1,2
Paris Saint-Germain,Manchester United,5,2
Liverpool,Benfica,3,5
Sevilla,Juventus,1,4
AC Milan,Juventus,3,5
Barcelona,Lyon,0,1
Chelsea,Arsenal,1,5
Bayern Munich,Juventus,5,1
Napoli,Chelsea,0,0
Sevilla,Real Madrid,1,2
Arsenal,Sevilla,1,3
Manchester United,Atlético de Madrid,5,3
Manchester United,RB Leipzig,4,5
Manchester United,Bayern Munich,2,5
Real Madrid,Tottenham Hotspur,4,4
Napoli,Juventus,1,5
Tottenham Hotspur,Benfica,5,5
Real Madrid,Sevilla,1,5
Tottenham Hotspur,Arsenal,2,1
Manchester United,Juventus,1,4
Benfica,Manchester City,3,4
Atlético de Madrid,Sevilla,5,5
Borussia Dortmund,Atlético de Madrid,1,2
Real Madrid,AC Milan,2,0
AC Milan,Lyon,5,3
Barcelona,Real Madrid,2,4
Real Madrid,Bayern Munich,1,5
Manchester City,Napoli,4,0
RB Leipzig,Barcelona,0,5
Manchester City,Juventus,0,2
Chelsea,Manchester City,5,0
Manchester United,Paris Saint-Germain,3,2
Inter Milan,Benfica,2,4
Napoli,AC Milan,5,1
Sevilla,Tottenham Hotspur,4,1
Napoli,Barcelona,2,5
Chelsea,Inter Milan,2,1
Barcelona,Chelsea,1,5
Arsenal,Juventus,2,2
Benfica,Lyon,4,3
Chelsea,Atlético de Madrid,0,5
Barcelona,Arsenal,1,4
Tottenham Hotspur,Atlético de Madrid,3,4
RB Leipzig,Napoli,4,5
Atlético de Madrid,Benfica,5,1
Arsenal,Real Madrid,1,2
Lyon,Napoli,5,0
Manchester United,AC Milan,4,0
Tottenham Hotspur,Benfica,2,1
Benfica,AC Milan,2,1
Benfica,AC Milan,5,3
Napoli,Manchester United,3,0
AC Milan,Bayern Munich,0,3
Real Madrid,Chelsea,1,3
Inter Milan,RB Leipzig,5,0
Benfica,RB Leipzig,2,5
Benfica,Inter Milan,5,5
Atlético de Madrid,Chelsea,1,0
Atlético de Madrid,Manchester United,3,3
Lyon,Juventus,2,1
Borussia Dortmund,Manchester City,1,1
Real Madrid,Tottenham Hotspur,5,4
Arsenal,Tottenham Hotspur,3,5
Paris Saint-Germain,Manchester United,4,0
Sevilla,Manchester City,4,0
Napoli,Liverpool,2,2
Juventus,Liverpool,0,4
Barcelona,Real Madrid,1,4
Chelsea,Juventus,5,1
AC Milan,RB Leipzig,3,2
Bayern Munich,RB Leipzig,0,5
Lyon,Atlético de Madrid,0,5
RB Leipzig,Paris Saint-Germain,2,0
Borussia Dortmund,Barcelona,2,1
Real Madrid,Bayern Munich,5,2
Inter Milan,Benfica,2,5
Manchester City,Atlético de Madrid,4,1
Borussia Dortmund,Lyon,0,2
Juventus,Paris Saint-Germain,5,2
Juventus,Atlético de Madrid,3,0
Chelsea,Liverpool,5,4
Manchester City,Tottenham Hotspur,4,0
Barcelona,Arsenal,0,0
Real Madrid,Bayern Munich,5,2
Paris Saint-Germain,Atlético de Madrid,2,5
Manchester United,Borussia Dortmund,4,5
Lyon,Liverpool,3,0
Paris Saint-Germain,Atlético de Madrid,3,5
RB Leipzig,Lyon,4,2
Napoli,Chelsea,4,0
Juventus,Tottenham Hotspur,4,5
Manchester City,RB Leipzig,2,1
Bayern Munich,Atlético de Madrid,2,0
Borussia Dortmund,Manchester City,5,3
Lyon,AC Milan,0,5
Sevilla,Lyon,2,2
Bayern Munich,Tottenham Hotspur,4,3
Arsenal,Lyon,4,2
Lyon,AC Milan,1,1
Manchester United,Lyon,3,5
Napoli,Inter Milan,0,0
RB Leipzig,Atlético de Madrid,4,4
Real Madrid,RB Leipzig,3,5
Napoli,Juventus,1,1
Inter Milan,Lyon,5,2
RB Leipzig,Inter Milan,3,2
Bayern Munich,Paris Saint-Germain,0,2
Benfica,RB Leipzig,3,5
Manchester United,Real Madrid,3,0
AC Milan,Barcelona,3,4
AC Milan,Tottenham Hotspur,0,0
Lyon,Paris Saint-Germain,2,0
Benfica,RB Leipzig,3,3
Lyon,Manchester United,5,2
Liverpool,Napoli,2,5
Manchester City,RB Leipzig,2,2
Borussia Dortmund,Benfica,1,0
Tottenham Hotspur,Benfica,4,3
Tottenham Hotspur,Liverpool,1,1
Napoli,Manchester City,3,2
Tottenham Hotspur,Real Madrid,0,3
Juventus,Barcelona,2,4
Liverpool,Benfica,5,3
Borussia Dortmund,Real Madrid,0,3
Inter Milan,Lyon,3,1
Manchester United,Lyon,1,0
Bayern Munich,Juventus,1,4
Chelsea,Napoli,1,1
Real Madrid,Juventus,4,5
Manchester United,Real Madrid,0,0
Barcelona,Atlético de Madrid,1,4
Juventus,Manchester City,4,4
Benfica,Bayern Munich,1,3
AC Milan,Lyon,0,0
Tottenham Hotspur,Sevilla,5,0
Napoli,Lyon,3,4
AC Milan,Chelsea,3,5
RB Leipzig,Napoli,2,2
Inter Milan,Sevilla,4,3
Inter Milan,Chelsea,3,0
Barcelona,Arsenal,5,0
Napoli,Barcelona,2,1
Atlético de Madrid,Lyon,0,0
Manchester City,Inter Milan,1,5
Manchester City,Napoli,5,1
Napoli,Liverpool,4,2
Arsenal,Napoli,0,1
Benfica,Napoli,1,2
Inter Milan,Sevilla,0,3
Real Madrid,Sevilla,2,1
AC Milan,RB Leipzig,0,5
Napoli,Benfica,0,5
Arsenal,AC Milan,0,5
Manchester City,Juventus,4,3
Benfica,Borussia Dortmund,4,0
Paris Saint-Germain,Manchester United,1,1
Paris Saint-Germain,Barcelona,4,5
Manchester United,Lyon,0,4
Borussia Dortmund,RB Leipzig,4,4
Napoli,Arsenal,2,5
Manchester United,Chelsea,0,3
RB Leipzig,Bayern Munich,1,2
Liverpool,Benfica,2,1
Sevilla,RB Leipzig,5,4
RB Leipzig,Arsenal,1,5
Lyon,Arsenal,1,5
Liverpool,Lyon,3,2
AC Milan,Barcelona,3,4
Manchester City,Tottenham Hotspur,5,5
Borussia Dortmund,Benfica,2,0
AC Milan,Real Madrid,2,5
Inter Milan,RB Leipzig,0,3
Liverpool,Benfica,5,4
Sevilla,AC Milan,2,3
Sevilla,AC Milan,0,1
Manchester United,Atlético de Madrid,3,5
Manchester City,Arsenal,5,4
Atlético de Madrid,Paris Saint-Germain,4,3
Juventus,Bayern Munich,3,5
Real Madrid,Napoli,4,5
Lyon,Borussia Dortmund,1,5
Manchester City,Barcelona,2,1
Juventus,Borussia Dortmund,2,0
Lyon,AC Milan,1,2
RB Leipzig,Barcelona,2,5
Inter Milan,Bayern Munich,3,0
Chelsea,RB Leipzig,2,2
AC Milan,Bayern Munich,3,5
Real Madrid,Manchester United,1,4
Barcelona,Lyon,3,4
Juventus,AC Milan,5,5
Lyon,Bayern Munich,2,0
Lyon,Napoli,5,1
Inter Milan,Napoli,3,4
Manchester United,Benfica,3,5
Lyon,Manchester City,2,5
Benfica,Arsenal,0,5
Juventus,AC Milan,4,5
Chelsea,Juventus,0,1
Juventus,Napoli,4,4
Napoli,Tottenham Hotspur,5,3
RB Leipzig,Manchester City,3,1
Bayern Munich,Borussia Dortmund,3,2
Real Madrid,Atlético de Madrid,2,3
Benfica,Inter Milan,5,2
RB Leipzig,Liverpool,2,2
Arsenal,Manchester City,0,5
Napoli,Barcelona,2,3
Atlético de Madrid,Inter Milan,5,2
Arsenal,Sevilla,1,0
Lyon,Manchester City,5,4
Inter Milan,Tottenham Hotspur,0,5
Inter Milan,Lyon,4,1
Juventus,Atlético de Madrid,1,3
Juventus,Barcelona,4,0
Manchester United,Sevilla,5,3
Borussia Dortmund,Chelsea,5,5
Lyon,Borussia Dortmund,0,3
Liverpool,Bayern Munich,4,1
Tottenham Hotspur,Atlético de Madrid,2,5
Chelsea,Manchester United,0,0
Juventus,Chelsea,3,3
Inter Milan,Paris Saint-Germain,5,3
Tottenham Hotspur,Chelsea,3,4
Liverpool,Real Madrid,2,0
Tottenham Hotspur,Atlético de Madrid,4,1
Sevilla,Atlético de Madrid,3,3
Borussia Dortmund,Lyon,3,0
Juventus,Liverpool,5,0
RB Leipzig,Lyon,1,2
Atlético de Madrid,Manchester City,4,4
Manchester City,Bayern Munich,0,2
Juventus,Liverpool,0,2
Juventus,Lyon,5,3
Manchester United,Paris Saint-Germain,2,0
RB Leipzig,Lyon,4,5
Sevilla,Chelsea,1,3
Bayern Munich,Manchester City,3,5
Sevilla,Manchester City,0,2
Barcelona,Napoli,3,4
Tottenham Hotspur,Inter Milan,2,4
Liverpool,Benfica,2,1
Benfica,Napoli,4,4
RB Leipzig,Manchester City,2,3
Benfica,Lyon,0,5
Atlético de Madrid,Arsenal,4,2
Napoli,Barcelona,5,5
RB Leipzig,Atlético de Madrid,0,0
Tottenham Hotspur,Atlético de Madrid,1,3
Manchester City,Lyon,4,0
AC Milan,Atlético de Madrid,1,4
RB Leipzig,Paris Saint-Germain,1,4
Paris Saint-Germain,Liverpool,1,4
Benfica,Barcelona,1,1
Manchester United,Sevilla,3,3
Arsenal,Inter Milan,5,4
RB Leipzig,Liverpool,1,1
Barcelona,Real Madrid,2,4
Juventus,Paris Saint-Germain,4,3
AC Milan,Chelsea,0,3
Benfica,Chelsea,0,2
Barcelona,Tottenham Hotspur,1,2
AC Milan,Liverpool,3,5
Liverpool,Benfica,0,5
RB Leipzig,Chelsea,5,2
Benfica,Sevilla,2,2
Manchester United,Napoli,4,4
Sevilla,Chelsea,2,5
Manchester United,Real Madrid,1,4
Benfica,Napoli,4,1
Manchester United,Liverpool,0,1
Real Madrid,Atlético de Madrid,2,1
Borussia Dortmund,Benfica,5,2
Sevilla,Manchester United,3,2
Manchester United,Napoli,2,3
Manchester United,Lyon,4,5
AC Milan,Real Madrid,5,2
AC Milan,Sevilla,4,1
Sevilla,Atlético de Madrid,5,2
RB Leipzig,Juventus,3,5
Barcelona,Real Madrid,1,3
Real Madrid,RB Leipzig,0,5
Bayern Munich,Manchester City,2,5
Atlético de Madrid,Paris Saint-Germain,1,2
Real Madrid,Barcelona,1,2
Inter Milan,Barcelona,3,1
Lyon,Inter Milan,3,2
Juventus,Sevilla,3,1
Real Madrid,Arsenal,0,3
Napoli,Paris Saint-Germain,2,2
Bayern Munich,Liverpool,4,3
Lyon,AC Milan,5,2
Inter Milan,RB Leipzig,3,3
Juventus,Inter Milan,4,2
Benfica,Tottenham Hotspur,0,5
Bayern Munich,Lyon,1,5
Borussia Dortmund,Chelsea,4,4
RB Leipzig,Sevilla,2,5
Lyon,Manchester United,3,2
Real Madrid,AC Milan,4,4
Inter Milan,Sevilla,3,4
Lyon,Bayern Munich,0,5
AC Milan,Sevilla,2,1
Arsenal,Real Madrid,0,0
Manchester United,AC Milan,0,1
Bayern Munich,Manchester City,4,1
Tottenham Hotspur,Juventus,4,1
Paris Saint-Germain,Tottenham Hotspur,3,4
Tottenham Hotspur,Borussia Dortmund,0,3
Benfica,Tottenham Hotspur,4,5
Barcelona,Lyon,3,1
Inter Milan,Liverpool,3,5
AC Milan,Inter Milan,5,0
Tottenham Hotspur,Manchester City,2,1
Liverpool,Lyon,2,1
RB Leipzig,Lyon,2,1
Borussia Dortmund,Benfica,3,3
Atlético de Madrid,Inter Milan,1,5
Tottenham Hotspur,Bayern Munich,4,5
Sevilla,Bayern Munich,0,0
Manchester City,Inter Milan,1,2
Barcelona,Liverpool,0,4
Barcelona,Lyon,3,1
Napoli,Tottenham Hotspur,3,5
Inter Milan,Napoli,1,5
Inter Milan,Chelsea,3,2
Tottenham Hotspur,RB Leipzig,1,1
Chelsea,Manchester United,5,5
Atlético de Madrid,Benfica,5,4
Inter Milan,Juventus,1,2
Real Madrid,Liverpool,5,0
Borussia Dortmund,Chelsea,4,2
Liverpool,Borussia Dortmund,0,0
Lyon,Barcelona,2,2
Manchester City,Paris Saint-Germain,5,0
Inter Milan,Liverpool,4,5
Napoli,Chelsea,0,3
Bayern Munich,Inter Milan,5,1
Lyon,Arsenal,0,0
Lyon,Paris Saint-Germain,2,2
Real Madrid,AC Milan,0,1
Chelsea,Atlético de Madrid,3,3
Paris Saint-Germain,Atlético de Madrid,3,3
Arsenal,Manchester United,5,4
Manchester City,Bayern Munich,0,4
Real Madrid,Juventus,1,2
Borussia Dortmund,Sevilla,1,3
Arsenal,Barcelona,3,0
RB Leipzig,Inter Milan,1,3
Arsenal,RB Leipzig,2,3
Lyon,Barcelona,5,0
Chelsea,Arsenal,4,3
Bayern Munich,Napoli,2,0
Real Madrid,Liverpool,5,3
Paris Saint-Germain,Napoli,4,0
Lyon,Paris Saint-Germain,4,2
Napoli,Chelsea,3,5
Lyon,Arsenal,4,4
Sevilla,Chelsea,1,3
Real Madrid,Tottenham Hotspur,2,2
RB Leipzig,Juventus,0,5
Paris Saint-Germain,Inter Milan,0,0
Manchester United,RB Leipzig,2,3
Manchester United,Inter Milan,1,5
Inter Milan,RB Leipzig,4,5
Chelsea,Bayern Munich,5,4
Lyon,Inter Milan,4,0
RB Leipzig,Real Madrid,4,1
Tottenham Hotspur,Paris Saint-Germain,4,1
Real Madrid,Atlético de Madrid,3,1
Liverpool,Tottenham Hotspur,2,1
AC Milan,Manchester City,1,2
Manchester City,Bayern Munich,1,5
Inter Milan,Atlético de Madrid,3,1
Real Madrid,Chelsea,3,5
Juventus,Chelsea,0,3
Arsenal,Borussia Dortmund,1,5
Juventus,Napoli,2,1
Napoli,Juventus,2,1
Real Madrid,Atlético de Madrid,1,1
Borussia Dortmund,Inter Milan,0,1
Inter Milan,Manchester City,0,3
AC Milan,Manchester United,0,5
RB Leipzig,Atlético de Madrid,3,0
Juventus,Sevilla,4,3
Chelsea,Liverpool,0,5
Tottenham Hotspur,Benfica,5,2
AC Milan,Atlético de Madrid,1,4
Inter Milan,AC Milan,0,5
Lyon,Tottenham Hotspur,1,2
Lyon,Sevilla,0,3
RB Leipzig,Arsenal,4,5
Inter Milan,Real Madrid,4,4
Borussia Dortmund,Liverpool,5,3
Tottenham Hotspur,Napoli,4,5
Paris Saint-Germain,Inter Milan,2,2
Liverpool,Barcelona,3,4
Napoli,RB Leipzig,2,2
Sevilla,RB Leipzig,1,3
Arsenal,Sevilla,2,1
AC Milan,Manchester City,1,2
Napoli,Manchester City,3,1
Real Madrid,Barcelona,4,3
Paris Saint-Germain,RB Leipzig,1,1
Borussia Dortmund,Sevilla,5,1
AC Milan,Manchester City,1,0
AC Milan,Atlético de Madrid,4,4
RB Leipzig,Chelsea,5,1
Manchester United,Manchester City,5,1
Sevilla,Borussia Dortmund,3,2
Manchester United,Tottenham Hotspur,0,5
Chelsea,Lyon,5,0
Tottenham Hotspur,Real Madrid,4,3
Chelsea,Liverpool,0,5
Tottenham Hotspur,Manchester United,2,4
RB Leipzig,Paris Saint-Germain,0,5
Barcelona,Bayern Munich,4,2
Liverpool,Napoli,2,2
AC Milan,Manchester United,1,0
Barcelona,Lyon,1,5
Benfica,Sevilla,2,4
Bayern Munich,Benfica,1,3
Manchester City,Inter Milan,3,3
Real Madrid,Manchester City,0,4
Lyon,Arsenal,5,5
Paris Saint-Germain,AC Milan,2,1
RB Leipzig,Paris Saint-Germain,1,4
Benfica,Atlético de Madrid,5,5
Chelsea,Paris Saint-Germain,0,0
Juventus,RB Leipzig,5,5
Chelsea,Liverpool,5,1
Borussia Dortmund,Chelsea,1,0
Benfica,Liverpool,5,5
Manchester City,Manchester United,5,5
Bayern Munich,RB Leipzig,2,4
Atlético de Madrid,Juventus,0,0
Inter Milan,Sevilla,2,3
Barcelona,Benfica,1,0
Real Madrid,RB Leipzig,1,1
Atlético de Madrid,RB Leipzig,2,5
AC Milan,Inter Milan,5,3
Sevilla,Manchester City,1,2
Barcelona,Real Madrid,3,1
Borussia Dortmund,Tottenham Hotspur,0,5
Barcelona,Juventus,0,4
Atlético de Madrid,AC Milan,3,3
Manchester City,RB Leipzig,1,2
Liverpool,Lyon,5,3
Real Madrid,Manchester City,1,0
Arsenal,Juventus,0,2
Manchester City,RB Leipzig,0,4
Bayern Munich,Paris Saint-Germain,5,4
RB Leipzig,Chelsea,1,2
Sevilla,Borussia Dortmund,5,2
Napoli,Barcelona,0,4
Atlético de Madrid,Juventus,1,4
Liverpool,Lyon,3,1
Borussia Dortmund,Paris Saint-Germain,0,0
Atlético de Madrid,Bayern Munich,3,5
Sevilla,Liverpool,1,1
Manchester City,Manchester United,5,3
Inter Milan,Bayern Munich,1,5
RB Leipzig,Paris Saint-Germain,3,3
Benfica,Borussia Dortmund,0,5
Atlético de Madrid,Borussia Dortmund,0,4
Napoli,Real Madrid,3,0
Paris Saint-Germain,Benfica,3,3
Arsenal,Benfica,3,4
Paris Saint-Germain,Juventus,3,1
Lyon,Arsenal,2,3
Napoli,Chelsea,5,1
Manchester City,Chelsea,4,5
Napoli,Tottenham Hotspur,4,4
Tottenham Hotspur,Napoli,3,1
Benfica,Real Madrid,3,3
Arsenal,Inter Milan,0,5
Paris Saint-Germain,Arsenal,0,5
Liverpool,Benfica,1,3
Barcelona,Juventus,4,4
Juventus,Manchester City,5,1
RB Leipzig,Bayern Munich,1,4
Arsenal,Manchester United,1,2
Barcelona,Bayern Munich,4,5
Chelsea,Juventus,2,0
AC Milan,Real Madrid,2,3
Bayern Munich,Juventus,0,1
Inter Milan,Bayern Munich,5,5
AC Milan,Chelsea,0,4
Arsenal,Atlético de Madrid,1,3
Borussia Dortmund,Bayern Munich,0,5
RB Leipzig,Arsenal,4,2
RB Leipzig,Paris Saint-Germain,3,3
Atlético de Madrid,Paris Saint-Germain,3,0
Juventus,Bayern Munich,0,3
